"","city","df_n","id","prov","intercept","slope","CI_lower","CI_upper","variance","r.squared"
"1","ANEROID",26,"12","SK",-113.176068376572,0.0500854700857226,-0.146691430192345,0.24686237036379,0.0132709165254853,0.951554728394458
"2","BUFFALO NARROWS",33,"25","SK",-77.6390374331589,-0.0208073952194105,-0.262173319600706,0.220558529161885,0.0197577866519967,0.951554728394458
"3","COLLINS BAY",36,"26","SK",58.572872605124,-0.092066062272833,-0.31669291599683,0.132560791451164,0.0176172324938033,0.951554728394458
"4","COTE",27,"1","SK",222.136630036708,-0.171941391941685,-0.43952432527644,0.0956415413930707,0.0251199491375127,0.951554728394458
"5","DAVIDSON",24,"2","SK",101.97895720423,-0.110435560411503,-0.366355512085515,0.14548439126251,0.0229432346808567,0.951554728394458
"6","ESTEVAN",35,"3","SK",218.43803921569,-0.167340372046509,-0.398432453233005,0.063751709139988,0.0187075314886568,0.951554728394458
"7","HUDSON BAY",38,"35","SK",94.0596126490863,-0.107367448420333,-0.336882836200039,0.122147939359374,0.0175183649155766,0.951554728394458
"8","INDIAN HEAD",38,"4","SK",-64.069460553671,-0.0273586947273683,-0.255110994643523,0.200393605188786,0.0175183649155766,0.951554728394458
"9","ISLAND FALLS",37,"27","SK",-109.762761202371,-0.00781445283984689,-0.232612000028557,0.216983094348863,0.0177290339469558,0.951554728394458
"10","KELLIHER",37,"5","SK",56.6792618785345,-0.0873937136859468,-0.311058520709959,0.136271093338065,0.0175243398317229,0.951554728394458
"11","KEY LAKE",36,"28","SK",30.2143816181035,-0.0779062063430281,-0.302659423737514,0.146847011051458,0.017667029216938,0.951554728394458
"12","KINDERSLEY",38,"17","SK",19.0536710799869,-0.0675490875493401,-0.293996238920974,0.158898063822294,0.0175183649155766,0.951554728394458
"13","LA RONGE",38,"29","SK",17.7077141919253,-0.0691575786315156,-0.292615531998607,0.154300374735576,0.0175183649155766,0.951554728394458
"14","LEADER",38,"14","SK",9.19311740890697,-0.0618263607739818,-0.285284314141074,0.16163159259311,0.0175183649155766,0.951554728394458
"15","LOON LAKE",33,"30","SK",-144.459799906384,0.0128928238529597,-0.214784078803212,0.240569726509131,0.0179550348908845,0.951554728394458
"16","LOST RIVER",35,"34","SK",33.5911510312734,-0.0772121690687103,-0.308443297829629,0.154018959692208,0.0178828154463393,0.951554728394458
"17","MOOSE JAW",37,"6","SK",104.17932715924,-0.109609593391941,-0.333414143925735,0.114194957141853,0.0175727512055704,0.951554728394458
"18","MOOSOMIN",20,"7","SK",-253.472481203002,0.0694634020947259,-0.278411784994545,0.417338589183997,0.0424569547488269,0.951554728394458
"19","NORTHBATTLEFORD",38,"18","SK",-19.6969362074631,-0.0489256057679633,-0.272383559135055,0.174532347599128,0.0175183649155765,0.951554728394458
"20","OUTLOOK",38,"21","SK",83.3498085129663,-0.0995000668687404,-0.323698032535819,0.124697898798338,0.0175183649155766,0.951554728394458
"21","PASWEGIN",23,"8","SK",68.7242390438212,-0.0941332788506611,-0.391656152099933,0.20338959439861,0.0310557951958443,0.951554728394458
"22","PELLY",37,"36","SK",17.1641536273115,-0.0687673098201939,-0.295669692361038,0.15813507272065,0.0178723189480842,0.951554728394458
"23","PILGER",32,"22","SK",116.590377565984,-0.117974033135577,-0.359025750910345,0.123077684639192,0.0203855482771431,0.951554728394458
"24","POPLAR RIVER",21,"16","SK",4.54718528996962,-0.0597884403827584,-0.364091945234169,0.244515064468653,0.0324874664448143,0.951554728394458
"25","PRINCE ALBERT",38,"23","SK",8.53328591749648,-0.0640257261312418,-0.288439438165059,0.160387985902575,0.0175183649155766,0.951554728394458
"26","REGINA",38,"9","SK",94.1052412736621,-0.105507288665436,-0.32931288302442,0.118298305693548,0.0175183649155766,0.951554728394458
"27","SASKATOON",38,"24","SK",84.7348725243458,-0.101207036996763,-0.324833711560194,0.122419637566668,0.0175183649155766,0.951554728394458
"28","SCOTT",38,"19","SK",-10.4527847685743,-0.0538276738279264,-0.277633268186911,0.169977920531058,0.0175183649155766,0.951554728394458
"29","SWIFT CURRENT",38,"13","SK",0.0822190611661457,-0.0566288555764764,-0.280086808943568,0.166829097790615,0.0175183649155765,0.951554728394458
"30","URANIUM CITY",31,"33","SK",25.9032471862588,-0.0760019686869842,-0.304512470107144,0.152508532733176,0.018163816938391,0.951554728394458
"31","VAL MARIE",31,"15","SK",-19.7483870967723,-0.0487951475050784,-0.294202342036968,0.196612047026811,0.0210970114523088,0.951554728394458
"32","WASECA",34,"20","SK",-2.48377226682946,-0.0571968916714836,-0.290115882762697,0.175722099419729,0.0190331966881622,0.951554728394458
"33","WASKESIU LAKE",38,"32","SK",-43.0963343910709,-0.0379834895626896,-0.262874777802399,0.18690779867702,0.0175183649155766,0.951554728394458
"34","WHITESAND DAM",37,"31","SK",40.7371978247105,-0.0828830514418022,-0.308221534843448,0.142455431959844,0.0177290339469558,0.951554728394458
"35","YELLOW GRASS",37,"10","SK",28.5585829682158,-0.0724276296829907,-0.296445748990718,0.151590489624736,0.0176063053186923,0.951554728394458
"36","YORKTON",36,"11","SK",252.098712998713,-0.185516615516868,-0.413869848753171,0.0428366177194348,0.0182667248700213,0.951554728394458
